query,summary,relevance,clarity,actionability
food quality and taste,"This place didn t have the authentic taste I was looking for. The atmosphere is nice but the food quality was lacking. I didn t find the food all that flavorable, the service isn t great, and it s definitely not worth the price.",1,1,2
slow or bad service,Slowest customer service in charlotte Worst service. Ignorant by the strictest definition. Food was just ok. Wouldn't go back. Horribly under staffed.,5,4,4
parking and location issues,"The Harris YMCA has been a family favorite for about 10 years. The staff is wonderful, and the facilities are superbly maintained and run. The only problems relate to overcrowding.",1,1,2
price and value for money,Mother s Dy Brunch 3 adults and 1 child 180.00 only drinks were 2 waters and 2 teas gratuity was included in bill so service was barely passable. Food was okay but not worth the price charged. However the crepes were awesome the saving grace.,1,5,4
cleanliness and hygiene,"My love for this place just keeps going up! nAgain, mouthwash in little cups for me waiting in the restrooms...sigh...lovely! nAmazing restaurant selections and everywhere, yes everywhere, in this place is CLEAN!!!!",4,3,3
staff friendliness,"Friendly staff! Very friendly staff. Nice selection and food was good. Great for a casual lunch or dinner! Awesome selection but staff are very rude Rude staff, almost made me feel like it was a bourden to them for me being in thier store.... thumbs down all around.",1,1,1
waiting time and reservations,"The wait for dinner is unacceptable. The front staff was rude, and the wait was too long. I saw open tables. What on earth is the point of accepting reservations if you do not h",5,5,5
delivery and takeout experience,"Service wasn't very good, and advertised delivery was not available because the delivery drivers car broke down. Facility OK. Shipping is horrible. Bring on the Brown.",4,4,5
ambiance and atmosphere,The wait staff is incompetent and the food is grossly overpriced with zero flavor. The salads you get with an entree is the size of a dixie cup and the lettuce is cheap iceburgh crap.,4,4,4
portion size and quantity,"i found out that portion size is good, then bad. i complained to corporate and they blocked my ip address. do not go there, they have no customer service!!! Good service, small portions Small portions. Over priced food. Very small menu dinner . Was OK, but disappointing overall.",4,2,2
